_resultNumber,_pageUrl,brand,model,network_technology,body_dimensions,body_weight,sim,display_type,display_size,display_resolution,multitouch,os,chipset,cpu,gpu,memory_card_slot,memory_internal,camera_primary,camera_features,camera_video,camera_secondary,alert_types,loudspeaker,three_dot_five_mm_jack,wlan,bluetooth,gps,radio,usb,sensors,messaging,browser,java,battery,battery_stand_by,battery_talk_time,battery_music_play,color
38,http://www.gsmarena.com/samsung_galaxy_note_3-5665.php,Samsung,Galaxy Note 3,GSM / CDMA / HSPA / EVDO / LTE,151.2 x 79.2 x 8.3 mm (5.95 x 3.12 x 0.33 in),168 g (5.93 oz),Micro-SIM,Super AMOLED capacitive touchscreen 16M colors,5.7 inches (~74.8% screen-to-body ratio),1080 x 1920 pixels (~386 ppi pixel density),Yes,Android OS v4.3 (Jelly Bean) upgradable to v4.4.2 (KitKat) planned upgrade to v5.0 (Lollipop),Qualcomm Snapdragon 800 (N9005 N9002)/ Exynos 5 Octa 5420 (N9000),Quad-core 2.3 GHz Krait 400 (N9005 N9002)/ Quad-core 1.9 GHz Cortex-A15 & quad-core 1.3 GHz Cortex-A7 (N9000),Adreno 330 (N9005 N9002)/ Mali-T628 MP6 (N9000),microSD up to 64 GB,16/32/64 GB 3 GB RAM,13 MP 4128 x 3096 pixels autofocus LED flash check quality,Dual Shot Simultaneous HD video and image recording geo-tagging touch focus face/smile detection panorama HDR,2160p@30fps 1080p@60fps (N9005 N9002)/ 1080p (N9000) check quality,2 MP 1080p@30fps,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct DLNA hotspot,v4.0 A2DP EDR LE,Yes with A-GPS GLONASS,Yes,Yes,Accelerometer gyro proximity compass barometer temperature humidity gesture,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion 3200 mAh battery,,Talk time; Up to 21 h (3G),,Black White Pink Merlot Red Rose Gold Black Rose Gold White
39,http://www.gsmarena.com/gionee-phones-92.php,Gionee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,http://www.gsmarena.com/samsung-phones-9.php,Samsung,phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,http://www.gsmarena.com/htc-phones-45.php,HTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,http://www.gsmarena.com/nokia-phones-1.php,Nokia,phones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,http://www.gsmarena.com/prestigio-phones-86.php,Prestigio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,http://www.gsmarena.com/samsung_galaxy_s6-6849.php,Samsung,Galaxy S6,GSM / HSPA / LTE,143.5 x 70.7 x 7.2 mm (5.65 x 2.78 x 0.28 in),-,Nano-SIM,Super AMOLED capacitive touchscreen 16M colors,5.0 inches (~67.9% screen-to-body ratio),1440 x 2560 pixels (~587 ppi pixel density),Yes,Android OS v5.0 (Lollipop),Exynos 7420,Quad-core 1.3 GHz Cortex-A53 & Quad-core 1.9 GHz Cortex-A57,Mali-T760,microSD up to 128 GB,32 GB 3 GB RAM,20 MP 4992 ? 3744 pixels phase detection autofocus LED flash,Geo-tagging touch focus face detection HDR panorama,2160p@30fps 1080p@60fps 720p@120fps HDR dual-video rec.,5 MP 1080p@30fps dual video call,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct hotspot,v4.0 A2DP LE apt-X,Yes with A-GPS GLONASS Beidou,Yes,Yes,Accelerometer gyro proximity compass barometer gesture heart rate,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion battery,,Talk time,,Charcoal Black Copper Gold Electric Blue Shimmery White
45,http://www.gsmarena.com/zte-phones-62.php,ZTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,http://www.gsmarena.com/pantech-phones-32.php,Pantech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,http://www.gsmarena.com/acer-phones-59.php,Acer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,http://www.gsmarena.com/samsung_galaxy_a7-6763.php,Samsung,Galaxy A7,GSM / HSPA / LTE,151 x 76.2 x 6.3 mm (5.94 x 3.00 x 0.25 in),141 g (4.97 oz),Optional Dual SIM (dual stand-by),Super AMOLED capacitive touchscreen 16M colors,5.5 inches (~72.5% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Yes,Android OS v4.4.x (KitKat),Qualcomm MSM8939 Snapdragon 615 - LTE/3G Dual SIM model Exynos 5 Octa 5430 - LTE model,Quad-core 1.7 GHz Cortex-A53 & quad-core 1.0 GHz Cortex-A53 - LTE/3G Dual SIM model Quad-core 1.8 Cortex-A15 GHz & quad-core 1.3 Cortex-A7 GHz - LTE model,Adreno 405 Mali-T628 MP6,microSD up to 64 GB,16 GB 2 GB RAM,13 MP 4128 x 3096 pixels autofocus LED flash,Geo-tagging touch focus face detection panorama HDR,1080p@30fps,5 MP,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n dual-band hotspot,v4.0 A2DP EDR LE,Yes with A-GPS GLONASS,Yes (LTE model only),TBC,Accelerometer proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Non-removable Li-Ion 2600 mAh battery,,Talk time,,Pearl White Midnight Black Champagne Gold
49,http://www.gsmarena.com/samsung_galaxy_grand_2-5862.php,Samsung,Galaxy Grand 2,GSM / HSPA / LTE,146.8 x 75.3 x 8.9 mm (5.78 x 2.96 x 0.35 in),163 g (5.75 oz),Optional Dual SIM (Micro-SIM dual stand-by),TFT capacitive touchscreen 16M colors,5.25 inches (~68.7% screen-to-body ratio),720 x 1280 pixels (~280 ppi pixel density),Yes,Android OS v4.3 (Jelly Bean) upgradable to v4.4.2 (KitKat),Qualcomm MSM8226 Snapdragon 400,Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSD up to 64 GB,8 GB 1.5 GB RAM,8 MP 3264 x 2448 pixels autofocus LED flash check quality,Geo-tagging touch focus face/smile detection,1080p@30fps stereo sound rec. check quality,1.9 MP,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n dual-band Wi-Fi Direct DLNA hotspot,v4.0 A2DP EDR LE,Yes with A-GPS GLONASS,FM radio,microUSB v2.0,Accelerometer proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion 2600 mAh battery,,Talk time; Up to 17 h (3G),,Black White Pink
50,http://www.gsmarena.com/xiaomi-phones-80.php,Xiaomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
