id,brand,model,network_technology,body_dimensions,body_weight,sim,display_type,display_size,display_resolution,multitouch,os,chipset,cpu,gpu,memory_card_slot,memory_internal,camera_primary,camera_features,camera_video,camera_secondary,alert_types,loudspeaker,three_dot_five_mm_jack,wlan,bluetooth,gps,radio,usb,sensors,messaging,browser,java,battery,battery_stand_by,battery_talk_time,battery_music_play,color
52,Samsung,I9300 Galaxy S III,GSM / HSPA,136.6 x 70.6 x 8.6 mm (5.38 x 2.78 x 0.34 in),133 g (4.69 oz),Micro-SIM,Super AMOLED capacitive touchscreen 16M colors,4.8 inches (~65.9% screen-to-body ratio),720 x 1280 pixels (~306 ppi pixel density),Yes,Android OS v4.0.4 (Ice Cream Sandwich) 4.3 (Jelly Bean),Exynos 4412 Quad,Quad-core 1.4 GHz Cortex-A9,Mali-400MP4,microSD up to 64 GB,16/32/64 GB 1 GB RAM,8 MP 3264 x 2448 pixels autofocus LED flash check quality,Simultaneous HD video and image recording geo-tagging touch focus face/smile detection,1080p@30fps check quality,1.9 MP 720p@30fps,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n dual-band Wi-Fi Direct DLNA hotspot,v4.0 A2DP EDR apt-X,Yes with A-GPS GLONASS,Yes,Stereo FM radio with RDS,Accelerometer gyro proximity compass barometer,SMS(threaded view) MMS Email Push Mail IM,HTML Adobe Flash,Yes via Java MIDP emulator,Li-Ion 2100 mAh battery,,Talk time; Up to 21 h 40 min (2G) / Up to 11 h 40 min (3G),,Pebble blue Marble white Amber brown Garnet red Sapphire black Titanium grey La Fleur
53,Yezz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Nokia,Lumia 930 review: Iconic once again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Samsung,I9300I Galaxy S3 Neo,GSM / HSPA,136.6 x 70.8 x 8.6 mm (5.38 x 2.79 x 0.34 in),132 g (4.66 oz),Dual SIM (Micro-SIM dual stand-by),Super AMOLED capacitive touchscreen 16M colors,4.8 inches (~65.7% screen-to-body ratio),720 x 1280 pixels (~306 ppi pixel density),Yes,Android OS v4.3 (Jelly Bean) upgradable to v4.4.4 (KitKat),Qualcomm MSM8226 Snapdragon 400,Quad-core 1.2 or 1.4 GHz Cortex-A7,Adreno 305,microSD up to 64 GB,16 GB 1.5 GB RAM,8 MP 3264 x 2448 pixels autofocus LED flash,Simultaneous HD video and image recording geo-tagging touch focus face/smile detection,1080p@30fps,1.9 MP 720p@30fps,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n dual-band Wi-Fi Direct hotspot,v4.0 A2DP EDR apt-X,Yes with A-GPS GLONASS,Yes,Stereo FM radio with RDS,Accelerometer gyro proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML,Yes via Java MIDP emulator,Li-Ion 2100 mAh battery,,Talk time; Up to 14 h (3G),Up to 57 h,Pebble blue Marble white Amber brown Garnet red Sapphire black Titanium grey La Fleur Pink
56,Samsung,Galaxy Note Edge,GSM / HSPA / LTE,151.3 x 82.4 x 8.3 mm (5.96 x 3.24 x 0.33 in),174 g (6.14 oz),Micro-SIM,Super AMOLED capacitive touchscreen 16M colors,5.6 inches (~77.2% screen-to-body ratio),1600 x 2560 pixels (~524 ppi pixel density),Yes,Android OS v4.4.4 (KitKat),Qualcomm Snapdragon 805,Quad-core 2.7 GHz Krait 450,Adreno 420,microSD up to 128 GB,32/64 GB 3 GB RAM,16 MP 3456 x 4608 pixels optical image stabilization autofocus LED flash check quality,Dual Shot Simultaneous HD video and image recording geo-tagging touch focus face/smile detection panorama HDR,2160p@30fps 1080p@60fps 720p@120fps optical stabilization dual-video rec. check quality,3.7 MP 1440p@30fps,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct hotspot,v4.1 A2DP EDR LE,Yes with A-GPS GLONASS Beidou,Yes,Yes,Accelerometer gyro proximity compass barometer UV heart rate SpO2,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion 3000 mAh battery,,Talk time; Up to 18 h (3G),Up to 67 h,Black White
57,Samsung,Galaxy Core Prime,GSM / HSPA / LTE,130.8 x 67.9 x 8.8 mm (5.15 x 2.67 x 0.35 in),130 g (4.59 oz),Optional Dual SIM (Micro-SIM dual stand-by),Capacitive touchscreen 16M colors,4.5 inches (~64.9% screen-to-body ratio),480 x 800 pixels (~207 ppi pixel density),Yes,Android OS v4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD up to 64 GB,8 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash check quality,Geo-tagging touch focus face detection,720p@30fps check quality,2 MP,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n Wi-Fi Direct hotspot,v4.0 A2DP,Yes with A-GPS GLONASS Beidou,Yes (LTE models),FM radio,Accelerometer proximity,SMS(threaded view) MMS Email Push Mail IM,HTML,Yes via Java MIDP emulator,Li-Ion 2000 mAh battery,,Talk time; Up to 13 h (3G),Up to 60 h,Black White Gray
58,vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Samsung,Galaxy A3,GSM / HSPA / LTE,130.1 x 65.5 x 6.9 mm (5.12 x 2.58 x 0.27 in),110.3 g (3.88 oz),Nano-SIM,Super AMOLED capacitive touchscreen 16M colors,4.5 inches (~65.5% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Yes,Android OS v4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD up to 64 GB,16 GB 1/1.5 GB RAM,8 MP 3264 x 2448 pixels autofocus LED flash check quality,Geo-tagging touch focus face detection panorama,1080p@30fps check quality,5 MP,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n hotspot,v4.0 A2DP EDR LE,Yes with A-GPS GLONASS Beidou,Yes (LTE model only),FM radio recording,Accelerometer proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Non-removable Li-Ion 1900 mAh battery,,Talk time; Up to 12 h (3G),Up to 60 h,Pearl White Midnight Black Platinum Silver Soft Pink Light Blue Champagne Gold
60,Samsung,Galaxy Grand Neo,GSM / HSPA,143.7 x 77.1 x 9.6 mm (5.66 x 3.04 x 0.38 in),163 g (5.75 oz),Optional Dual SIM (Mini-SIM dual stand-by),TFT capacitive touchscreen 16M colors,5.01 inches (~64.5% screen-to-body ratio),480 x 800 pixels (~186 ppi pixel density),Yes,Android OS v4.2 (Jelly Bean) Android OS v4.4.2 (KitKat) - GT-I9060I,BCM23550,Quad-core 1.2 GHz Cortex-A7,,microSD up to 64 GB,8/16 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash check quality,Geo-tagging,720p@30fps check quality,VGA/ 2 MP (GT-I9060I),Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n Wi-Fi Direct hotspot,v4.0 A2DP LE,Yes with A-GPS GLONASS,FM radio,microUSB v2.0,Accelerometer proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion 2100 mAh battery,,Talk time; Up to 11 h,Up to 38 h,White Midnight Black Orange Lime Green
61,Samsung,Galaxy J1 pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Samsung,Galaxy S5 LTE-A G901F pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Samsung,Galaxy S5 LTE-A G901F - user opinions and reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Samsung,E1272 pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Samsung,E1272 - user opinions and reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Samsung,Z1 pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Samsung,Z1 - user opinions and reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
